driverId,name,ssn,location,certified,wage-plan
10,Austin Lopez,667-30-4061,"011 Norma Pass
Paulmouth, UT 09162",N,hours
11,Martin Taylor,637-65-3633,"PSC 3590, Box 5821
APO AE 12929",Y,miles
12,Tracy James,199-35-8170,"827 Ibarra Cliffs
Taylorside, RI 94593",Y,miles
13,Charles Melton,578-31-2914,"9368 Cole Walk
Adrianburgh, OK 22513",N,hours
14,Kenneth Garcia,831-52-7221,"70422 Kevin Forge
New Thomas, LA 38471",Y,hours
15,Jeffrey Sparks,048-32-9548,"90715 Owens Locks
Lake Heatherstad, AK 31065",N,miles
16,Joshua Wilson,267-79-2395,"1937 Jennifer Cliff
New Diana, KS 85184",N,miles
17,Shannon Marquez,043-38-9062,"3210 Curtis Expressway Apt. 557
East Kennethfort, LA 44109",Y,hours
18,Joseph Wheeler,198-43-4398,"USCGC Young
FPO AE 89094",Y,hours
19,Ryan Morris,322-66-5705,"43060 Shaffer Mountains
Timside, ID 17652",Y,miles
20,Wendy Reyes,054-82-4705,"602 Smith Drives Suite 114
East Dawn, DC 90502",N,miles
21,Jeffrey Clark,466-91-7093,"36986 Nathan Tunnel
Robertsland, MH 19547",Y,miles
22,William Lopez,213-85-2114,"923 Nash Creek
New Philipmouth, NY 14882",Y,miles
23,Justin Harmon,857-27-6249,"46517 Koch Plain
Port Marc, WI 50505",Y,miles
24,Diane Strong,796-50-3557,"52545 Jared Pine Apt. 951
Vargasfurt, PA 35020",Y,hours
25,James Warren,202-77-1929,"3469 William Ports Apt. 883
North Stephanie, AZ 58602",Y,miles
26,Hailey Richardson,852-87-1606,"90622 White Underpass Suite 907
Port Katieview, CT 37244",N,hours
27,Michelle Perez,657-12-6337,"1338 Howard Station
Smithfort, DC 96288",Y,miles
28,Laura Douglas,098-46-4186,"61427 Kevin Plaza Suite 246
Port Marioburgh, PW 52004",Y,miles
29,Jeffrey Fletcher,405-99-3840,"25529 Sanchez Ferry Suite 402
Johnborough, IA 66888",N,hours
30,Elizabeth Vargas,582-51-7824,"68853 Tracey Parkways
North Thomas, IN 18648",Y,hours
31,Danny Leon,630-44-7823,"5751 Christy Extensions
Port Miaport, FL 20072",N,miles
32,Katie Williams,083-16-1814,"5501 Bridget Trail Suite 985
East Richard, PR 48704",Y,hours
33,Brittany Conner,222-30-8329,"995 Moran Tunnel Apt. 774
Port Bradleymouth, NY 21720",N,miles
34,Jacqueline Brown,866-48-9175,"4104 Jean Junctions
Spencerfort, VA 77444",Y,miles
35,Tiffany Lam,898-08-6133,"6422 Jamie Plain Suite 530
Port Jonathanton, ID 67519",Y,hours
36,Tina Olson,489-64-0563,"PSC 5267, Box 0905
APO AA 02076",Y,hours
37,Lonnie Mcintyre,235-10-2477,"6054 Haley Shoals Apt. 101
North Jeffrey, AK 27017",N,miles
38,Robert Espinoza,748-71-5341,"44067 Erin Ranch Apt. 721
Michaelborough, SD 55602",N,hours
39,Lonnie Riley,754-08-5854,"PSC 3796, Box 1011
APO AA 34165",N,hours
40,Andrew Williams,252-51-8241,"868 Gutierrez Terrace Suite 936
West Matthew, OR 23439",N,miles
41,Douglas Lewis,139-74-0370,"050 Robert Burg
East Connie, AR 04541",Y,miles
42,John Knox,446-12-8593,"09713 Joshua Summit Apt. 015
Port Debrahaven, OR 20396",N,hours
43,Lisa Webb,613-20-9024,"2167 David Mills
Gomezburgh, PA 78007",N,miles
44,Brittany Knox,146-82-1734,"68766 Wesley Inlet Apt. 792
West Veronicaland, MS 03892",Y,miles
45,Gerald Burnett,207-05-8402,"628 Cynthia Key
South Jessicaville, VI 13732",N,hours
46,Joshua Evans,309-49-0653,"67784 Larsen Gateway Apt. 670
East Tabitha, CO 09631",N,hours
47,Alyssa Peters,876-29-0993,"005 Molina Pass Apt. 364
Lake Carolynside, WV 18537",Y,hours
48,Monique Dickerson,289-39-9687,"084 Steven Junctions
Campbellton, IA 37084",Y,miles
49,Jennifer Rivera,243-73-3533,"Unit 4823 Box 0247
DPO AP 01345",Y,hours
50,Jamie Wilson,263-12-7161,"74057 Sanchez Orchard
New Eric, LA 59766",Y,hours
51,Dana Meyer,005-81-7275,"698 Andrew Turnpike Apt. 971
South Jessicaside, CA 40195",Y,miles
52,Scott Nelson,167-04-2587,"724 Farmer Crossroad
Christopherfurt, MT 44952",Y,miles
53,Deborah Holden MD,701-88-8334,"8623 Sosa Light
North Michael, MP 49476",Y,miles
